victim_id,craft_uid,craftproj,cell_id,target_id,seed_idx
A02_t7_s3,A02_t7,craft-A02_t7,A02,7,3
A02_t7_s4,A02_t7,craft-A02_t7,A02,7,4
A02_t7_s5,A02_t7,craft-A02_t7,A02,7,5
A02_t8_s0,A02_t8,craft-A02_t8,A02,8,0
A02_t8_s1,A02_t8,craft-A02_t8,A02,8,1
A02_t8_s2,A02_t8,craft-A02_t8,A02,8,2
A02_t8_s3,A02_t8,craft-A02_t8,A02,8,3
A02_t8_s4,A02_t8,craft-A02_t8,A02,8,4
A02_t8_s5,A02_t8,craft-A02_t8,A02,8,5
A02_t9_s0,A02_t9,craft-A02_t9,A02,9,0
A02_t9_s1,A02_t9,craft-A02_t9,A02,9,1
A02_t9_s2,A02_t9,craft-A02_t9,A02,9,2
A02_t9_s3,A02_t9,craft-A02_t9,A02,9,3
A02_t9_s4,A02_t9,craft-A02_t9,A02,9,4
A02_t9_s5,A02_t9,craft-A02_t9,A02,9,5
A03_s0,A03,craft-A03,A03,0,0
A03_s1,A03,craft-A03,A03,0,1
A03_s2,A03,craft-A03,A03,0,2
A03_s3,A03,craft-A03,A03,0,3
A03_s4,A03,craft-A03,A03,0,4
A03_s5,A03,craft-A03,A03,0,5
A03_t1_s0,A03_t1,craft-A03_t1,A03,1,0
A03_t1_s1,A03_t1,craft-A03_t1,A03,1,1
A03_t1_s2,A03_t1,craft-A03_t1,A03,1,2
A03_t1_s3,A03_t1,craft-A03_t1,A03,1,3
A03_t1_s4,A03_t1,craft-A03_t1,A03,1,4
A03_t1_s5,A03_t1,craft-A03_t1,A03,1,5
A03_t2_s0,A03_t2,craft-A03_t2,A03,2,0
A03_t2_s1,A03_t2,craft-A03_t2,A03,2,1
A03_t2_s2,A03_t2,craft-A03_t2,A03,2,2
A03_t2_s3,A03_t2,craft-A03_t2,A03,2,3
A03_t2_s4,A03_t2,craft-A03_t2,A03,2,4
A03_t2_s5,A03_t2,craft-A03_t2,A03,2,5
A03_t3_s0,A03_t3,craft-A03_t3,A03,3,0
A03_t3_s1,A03_t3,craft-A03_t3,A03,3,1
A03_t3_s2,A03_t3,craft-A03_t3,A03,3,2
A03_t3_s3,A03_t3,craft-A03_t3,A03,3,3
A03_t3_s4,A03_t3,craft-A03_t3,A03,3,4
A03_t3_s5,A03_t3,craft-A03_t3,A03,3,5
A03_t4_s0,A03_t4,craft-A03_t4,A03,4,0
A03_t4_s1,A03_t4,craft-A03_t4,A03,4,1
A03_t4_s2,A03_t4,craft-A03_t4,A03,4,2
A03_t4_s3,A03_t4,craft-A03_t4,A03,4,3
A03_t4_s4,A03_t4,craft-A03_t4,A03,4,4
A03_t4_s5,A03_t4,craft-A03_t4,A03,4,5
A03_t5_s0,A03_t5,craft-A03_t5,A03,5,0
A03_t5_s1,A03_t5,craft-A03_t5,A03,5,1
