cell_id,arch,target_class,poison_class,ytargetadv,target_id,npoison,ncraftstep,nreplay,objective,note
A07_t1,ConvNetBN,0,6,6,1,50,61,6,cwT,fig4-frogplane-ConvNetBN-npoison50-target1
A07_t2,ConvNetBN,0,6,6,2,50,61,6,cwT,fig4-frogplane-ConvNetBN-npoison50-target2
A07_t3,ConvNetBN,0,6,6,3,50,61,6,cwT,fig4-frogplane-ConvNetBN-npoison50-target3
A07_t4,ConvNetBN,0,6,6,4,50,61,6,cwT,fig4-frogplane-ConvNetBN-npoison50-target4
A07_t5,ConvNetBN,0,6,6,5,50,61,6,cwT,fig4-frogplane-ConvNetBN-npoison50-target5
A07_t6,ConvNetBN,0,6,6,6,50,61,6,cwT,fig4-frogplane-ConvNetBN-npoison50-target6
A07_t7,ConvNetBN,0,6,6,7,50,61,6,cwT,fig4-frogplane-ConvNetBN-npoison50-target7
A07_t8,ConvNetBN,0,6,6,8,50,61,6,cwT,fig4-frogplane-ConvNetBN-npoison50-target8
A07_t9,ConvNetBN,0,6,6,9,50,61,6,cwT,fig4-frogplane-ConvNetBN-npoison50-target9
A08_t1,ConvNetBN,0,6,6,1,500,61,6,cwT,fig4-frogplane-ConvNetBN-npoison500-target1
A08_t2,ConvNetBN,0,6,6,2,500,61,6,cwT,fig4-frogplane-ConvNetBN-npoison500-target2
A08_t3,ConvNetBN,0,6,6,3,500,61,6,cwT,fig4-frogplane-ConvNetBN-npoison500-target3
A08_t4,ConvNetBN,0,6,6,4,500,61,6,cwT,fig4-frogplane-ConvNetBN-npoison500-target4
A08_t5,ConvNetBN,0,6,6,5,500,61,6,cwT,fig4-frogplane-ConvNetBN-npoison500-target5
A08_t6,ConvNetBN,0,6,6,6,500,61,6,cwT,fig4-frogplane-ConvNetBN-npoison500-target6
A08_t7,ConvNetBN,0,6,6,7,500,61,6,cwT,fig4-frogplane-ConvNetBN-npoison500-target7
A08_t8,ConvNetBN,0,6,6,8,500,61,6,cwT,fig4-frogplane-ConvNetBN-npoison500-target8
A08_t9,ConvNetBN,0,6,6,9,500,61,6,cwT,fig4-frogplane-ConvNetBN-npoison500-target9
A09_t1,ConvNetBN,0,6,6,1,2500,61,6,cwT,fig4-frogplane-ConvNetBN-npoison2500-target1
A09_t2,ConvNetBN,0,6,6,2,2500,61,6,cwT,fig4-frogplane-ConvNetBN-npoison2500-target2
A09_t3,ConvNetBN,0,6,6,3,2500,61,6,cwT,fig4-frogplane-ConvNetBN-npoison2500-target3
A09_t4,ConvNetBN,0,6,6,4,2500,61,6,cwT,fig4-frogplane-ConvNetBN-npoison2500-target4
A09_t5,ConvNetBN,0,6,6,5,2500,61,6,cwT,fig4-frogplane-ConvNetBN-npoison2500-target5
A09_t6,ConvNetBN,0,6,6,6,2500,61,6,cwT,fig4-frogplane-ConvNetBN-npoison2500-target6
A09_t7,ConvNetBN,0,6,6,7,2500,61,6,cwT,fig4-frogplane-ConvNetBN-npoison2500-target7
A09_t8,ConvNetBN,0,6,6,8,2500,61,6,cwT,fig4-frogplane-ConvNetBN-npoison2500-target8
A09_t9,ConvNetBN,0,6,6,9,2500,61,6,cwT,fig4-frogplane-ConvNetBN-npoison2500-target9
A10_t1,ConvNetBN,0,6,6,1,5000,61,6,cwT,fig4-frogplane-ConvNetBN-npoison5000-target1
A10_t2,ConvNetBN,0,6,6,2,5000,61,6,cwT,fig4-frogplane-ConvNetBN-npoison5000-target2
A10_t3,ConvNetBN,0,6,6,3,5000,61,6,cwT,fig4-frogplane-ConvNetBN-npoison5000-target3
A10_t4,ConvNetBN,0,6,6,4,5000,61,6,cwT,fig4-frogplane-ConvNetBN-npoison5000-target4
A10_t5,ConvNetBN,0,6,6,5,5000,61,6,cwT,fig4-frogplane-ConvNetBN-npoison5000-target5
A10_t6,ConvNetBN,0,6,6,6,5000,61,6,cwT,fig4-frogplane-ConvNetBN-npoison5000-target6
A10_t7,ConvNetBN,0,6,6,7,5000,61,6,cwT,fig4-frogplane-ConvNetBN-npoison5000-target7
A10_t8,ConvNetBN,0,6,6,8,5000,61,6,cwT,fig4-frogplane-ConvNetBN-npoison5000-target8
A10_t9,ConvNetBN,0,6,6,9,5000,61,6,cwT,fig4-frogplane-ConvNetBN-npoison5000-target9
A11_t1,VGG13BN,2,5,5,1,5,61,6,cwT,fig4-dogbird-VGG13BN-npoison5-target1
A11_t2,VGG13BN,2,5,5,2,5,61,6,cwT,fig4-dogbird-VGG13BN-npoison5-target2
A11_t3,VGG13BN,2,5,5,3,5,61,6,cwT,fig4-dogbird-VGG13BN-npoison5-target3
A11_t4,VGG13BN,2,5,5,4,5,61,6,cwT,fig4-dogbird-VGG13BN-npoison5-target4
A11_t5,VGG13BN,2,5,5,5,5,61,6,cwT,fig4-dogbird-VGG13BN-npoison5-target5
A11_t6,VGG13BN,2,5,5,6,5,61,6,cwT,fig4-dogbird-VGG13BN-npoison5-target6
A11_t7,VGG13BN,2,5,5,7,5,61,6,cwT,fig4-dogbird-VGG13BN-npoison5-target7
