victim_id,craft_uid,craftproj,cell_id,target_id,seed_idx
A10_t3_s0,A10_t3,craft-A10_t3,A10,3,0
A10_t3_s1,A10_t3,craft-A10_t3,A10,3,1
A10_t3_s2,A10_t3,craft-A10_t3,A10,3,2
A10_t3_s3,A10_t3,craft-A10_t3,A10,3,3
A10_t3_s4,A10_t3,craft-A10_t3,A10,3,4
A10_t3_s5,A10_t3,craft-A10_t3,A10,3,5
A10_t4_s0,A10_t4,craft-A10_t4,A10,4,0
A10_t4_s1,A10_t4,craft-A10_t4,A10,4,1
A10_t4_s2,A10_t4,craft-A10_t4,A10,4,2
A10_t4_s3,A10_t4,craft-A10_t4,A10,4,3
A10_t4_s4,A10_t4,craft-A10_t4,A10,4,4
A10_t4_s5,A10_t4,craft-A10_t4,A10,4,5
