cell_id,arch,target_class,poison_class,ytargetadv,target_id,npoison,ncraftstep,nreplay,objective,note
A14_t1,VGG13BN,2,5,5,1,2500,61,6,cwT,fig4-n20-dogbird-VGG13BN-npoison2500-target1
A14_t2,VGG13BN,2,5,5,2,2500,61,6,cwT,fig4-n20-dogbird-VGG13BN-npoison2500-target2
A14_t3,VGG13BN,2,5,5,3,2500,61,6,cwT,fig4-n20-dogbird-VGG13BN-npoison2500-target3
A14_t4,VGG13BN,2,5,5,4,2500,61,6,cwT,fig4-n20-dogbird-VGG13BN-npoison2500-target4
A15_t1,VGG13BN,2,5,5,1,5000,61,6,cwT,fig4-n20-dogbird-VGG13BN-npoison5000-target1
A15_t2,VGG13BN,2,5,5,2,5000,61,6,cwT,fig4-n20-dogbird-VGG13BN-npoison5000-target2
A15_t3,VGG13BN,2,5,5,3,5000,61,6,cwT,fig4-n20-dogbird-VGG13BN-npoison5000-target3
A15_t4,VGG13BN,2,5,5,4,5000,61,6,cwT,fig4-n20-dogbird-VGG13BN-npoison5000-target4
A16_t1,VGG13BN,0,6,6,1,5,61,6,cwT,fig4-n20-frogplane-VGG13BN-npoison5-target1
A16_t2,VGG13BN,0,6,6,2,5,61,6,cwT,fig4-n20-frogplane-VGG13BN-npoison5-target2
A16_t3,VGG13BN,0,6,6,3,5,61,6,cwT,fig4-n20-frogplane-VGG13BN-npoison5-target3
A16_t4,VGG13BN,0,6,6,4,5,61,6,cwT,fig4-n20-frogplane-VGG13BN-npoison5-target4
A17_t1,VGG13BN,0,6,6,1,50,61,6,cwT,fig4-n20-frogplane-VGG13BN-npoison50-target1
A17_t2,VGG13BN,0,6,6,2,50,61,6,cwT,fig4-n20-frogplane-VGG13BN-npoison50-target2
A17_t3,VGG13BN,0,6,6,3,50,61,6,cwT,fig4-n20-frogplane-VGG13BN-npoison50-target3
A17_t4,VGG13BN,0,6,6,4,50,61,6,cwT,fig4-n20-frogplane-VGG13BN-npoison50-target4
A18_t1,VGG13BN,0,6,6,1,500,61,6,cwT,fig4-n20-frogplane-VGG13BN-npoison500-target1
A18_t2,VGG13BN,0,6,6,2,500,61,6,cwT,fig4-n20-frogplane-VGG13BN-npoison500-target2
A18_t3,VGG13BN,0,6,6,3,500,61,6,cwT,fig4-n20-frogplane-VGG13BN-npoison500-target3
A18_t4,VGG13BN,0,6,6,4,500,61,6,cwT,fig4-n20-frogplane-VGG13BN-npoison500-target4
A19_t1,VGG13BN,0,6,6,1,2500,61,6,cwT,fig4-n20-frogplane-VGG13BN-npoison2500-target1
A19_t2,VGG13BN,0,6,6,2,2500,61,6,cwT,fig4-n20-frogplane-VGG13BN-npoison2500-target2
A19_t3,VGG13BN,0,6,6,3,2500,61,6,cwT,fig4-n20-frogplane-VGG13BN-npoison2500-target3
A19_t4,VGG13BN,0,6,6,4,2500,61,6,cwT,fig4-n20-frogplane-VGG13BN-npoison2500-target4
A20_t1,VGG13BN,0,6,6,1,5000,61,6,cwT,fig4-n20-frogplane-VGG13BN-npoison5000-target1
A20_t2,VGG13BN,0,6,6,2,5000,61,6,cwT,fig4-n20-frogplane-VGG13BN-npoison5000-target2
A20_t3,VGG13BN,0,6,6,3,5000,61,6,cwT,fig4-n20-frogplane-VGG13BN-npoison5000-target3
A20_t4,VGG13BN,0,6,6,4,5000,61,6,cwT,fig4-n20-frogplane-VGG13BN-npoison5000-target4
A21_t1,ResNet,2,5,5,1,5,61,6,cwT,fig4-n20-dogbird-ResNet-npoison5-target1
A21_t2,ResNet,2,5,5,2,5,61,6,cwT,fig4-n20-dogbird-ResNet-npoison5-target2
A21_t3,ResNet,2,5,5,3,5,61,6,cwT,fig4-n20-dogbird-ResNet-npoison5-target3
A21_t4,ResNet,2,5,5,4,5,61,6,cwT,fig4-n20-dogbird-ResNet-npoison5-target4
A22_t1,ResNet,2,5,5,1,50,61,6,cwT,fig4-n20-dogbird-ResNet-npoison50-target1
A22_t2,ResNet,2,5,5,2,50,61,6,cwT,fig4-n20-dogbird-ResNet-npoison50-target2
A22_t3,ResNet,2,5,5,3,50,61,6,cwT,fig4-n20-dogbird-ResNet-npoison50-target3
A22_t4,ResNet,2,5,5,4,50,61,6,cwT,fig4-n20-dogbird-ResNet-npoison50-target4
A23_t1,ResNet,2,5,5,1,500,61,6,cwT,fig4-n20-dogbird-ResNet-npoison500-target1
