victim_id,craft_uid,craftproj,cell_id,target_id,seed_idx
A09_t2_s0,A09_t2,craft-A09_t2,A09,2,0
A09_t2_s1,A09_t2,craft-A09_t2,A09,2,1
A09_t2_s2,A09_t2,craft-A09_t2,A09,2,2
A09_t2_s3,A09_t2,craft-A09_t2,A09,2,3
A09_t2_s4,A09_t2,craft-A09_t2,A09,2,4
A09_t2_s5,A09_t2,craft-A09_t2,A09,2,5
A10_t1_s0,A10_t1,craft-A10_t1,A10,1,0
A10_t1_s1,A10_t1,craft-A10_t1,A10,1,1
A10_t1_s2,A10_t1,craft-A10_t1,A10,1,2
A10_t1_s3,A10_t1,craft-A10_t1,A10,1,3
A10_t1_s4,A10_t1,craft-A10_t1,A10,1,4
A10_t1_s5,A10_t1,craft-A10_t1,A10,1,5
A10_t2_s0,A10_t2,craft-A10_t2,A10,2,0
A10_t2_s1,A10_t2,craft-A10_t2,A10,2,1
A10_t2_s2,A10_t2,craft-A10_t2,A10,2,2
A10_t2_s3,A10_t2,craft-A10_t2,A10,2,3
A10_t2_s4,A10_t2,craft-A10_t2,A10,2,4
A10_t2_s5,A10_t2,craft-A10_t2,A10,2,5
A11_t1_s0,A11_t1,craft-A11_t1,A11,1,0
A11_t1_s1,A11_t1,craft-A11_t1,A11,1,1
A11_t1_s2,A11_t1,craft-A11_t1,A11,1,2
A11_t1_s3,A11_t1,craft-A11_t1,A11,1,3
A11_t1_s4,A11_t1,craft-A11_t1,A11,1,4
A11_t1_s5,A11_t1,craft-A11_t1,A11,1,5
A11_t2_s0,A11_t2,craft-A11_t2,A11,2,0
A11_t2_s1,A11_t2,craft-A11_t2,A11,2,1
A11_t2_s2,A11_t2,craft-A11_t2,A11,2,2
A11_t2_s3,A11_t2,craft-A11_t2,A11,2,3
A11_t2_s4,A11_t2,craft-A11_t2,A11,2,4
A11_t2_s5,A11_t2,craft-A11_t2,A11,2,5
A12_t1_s0,A12_t1,craft-A12_t1,A12,1,0
A12_t1_s1,A12_t1,craft-A12_t1,A12,1,1
A12_t1_s2,A12_t1,craft-A12_t1,A12,1,2
A12_t1_s3,A12_t1,craft-A12_t1,A12,1,3
A12_t1_s4,A12_t1,craft-A12_t1,A12,1,4
